epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,948.611,0.66869,0.43306,0.95111,0.99605,1,0.995,0.8296,0.70333,0.38517,0.99461,0.000561279,0.000561279,0.000561279
69,960.378,0.6509,0.41944,0.94725,0.9964,1,0.995,0.83819,0.69886,0.38146,0.98139,0.000544776,0.000544776,0.000544776
70,972.757,0.62151,0.4348,0.98019,0.99655,1,0.995,0.85942,0.65222,0.37053,0.96096,0.000528272,0.000528272,0.000528272
71,984.856,0.66375,0.4161,0.9517,0.99646,1,0.995,0.86203,0.62621,0.3816,0.95476,0.000511769,0.000511769,0.000511769
72,996.313,0.60133,0.399,0.95399,0.99653,1,0.995,0.8679,0.60726,0.37304,0.96352,0.000495266,0.000495266,0.000495266
73,1008,0.62997,0.39471,0.96341,0.99672,1,0.995,0.87864,0.60496,0.36943,0.95953,0.000478762,0.000478762,0.000478762
74,1019.82,0.62288,0.41203,0.98442,0.99668,1,0.995,0.87251,0.5971,0.35391,0.94531,0.000462259,0.000462259,0.000462259
75,1031.61,0.59848,0.38083,0.96803,0.99661,1,0.995,0.85122,0.60283,0.3552,0.94877,0.000445756,0.000445756,0.000445756
76,1043.47,0.62748,0.41382,0.9627,0.99656,1,0.995,0.8428,0.67193,0.38598,0.98085,0.000429253,0.000429253,0.000429253
77,1055.08,0.62553,0.40389,0.96723,0.9965,1,0.995,0.82711,0.69802,0.39683,0.99188,0.000412749,0.000412749,0.000412749
78,1066.75,0.61168,0.39984,0.96707,0.9964,1,0.995,0.82954,0.67856,0.40057,0.97727,0.000396246,0.000396246,0.000396246
79,1078.18,0.61826,0.37962,0.94239,0.99643,1,0.995,0.8397,0.64928,0.38605,0.95745,0.000379743,0.000379743,0.000379743
80,1089.69,0.68514,0.43563,0.98529,0.99649,1,0.995,0.85455,0.60618,0.35623,0.9338,0.000363239,0.000363239,0.000363239
81,1101.33,0.61227,0.40014,0.96401,0.99652,1,0.995,0.85944,0.605,0.36605,0.94319,0.000346736,0.000346736,0.000346736
82,1113,0.62369,0.38816,0.97711,0.99655,1,0.995,0.84622,0.61679,0.36657,0.95934,0.000330233,0.000330233,0.000330233
83,1124.76,0.57292,0.37804,0.95945,0.99659,1,0.995,0.8506,0.61516,0.36034,0.95924,0.000313729,0.000313729,0.000313729
84,1136.72,0.56328,0.37557,0.95009,0.99645,1,0.995,0.85456,0.60803,0.34398,0.95095,0.000297226,0.000297226,0.000297226
85,1149.17,0.5774,0.37767,0.97389,0.99637,1,0.995,0.85168,0.60018,0.33957,0.9417,0.000280723,0.000280723,0.000280723
86,1161.12,0.68351,0.40106,0.98072,0.99623,1,0.995,0.85145,0.59172,0.34319,0.93824,0.00026422,0.00026422,0.00026422
87,1172.5,0.58231,0.37016,0.95201,0.99586,1,0.995,0.8538,0.58782,0.35057,0.9384,0.000247716,0.000247716,0.000247716
88,1184.03,0.54227,0.36664,0.9421,0.99489,1,0.995,0.86673,0.57979,0.3465,0.93889,0.000231213,0.000231213,0.000231213
89,1195.56,0.60403,0.36471,0.99008,0.99462,1,0.995,0.87848,0.58085,0.34434,0.94084,0.00021471,0.00021471,0.00021471
90,1207.1,0.56488,0.36298,0.91476,0.99416,1,0.995,0.87448,0.58677,0.35082,0.94477,0.000198206,0.000198206,0.000198206
91,1218.71,0.58967,0.48226,0.95424,0.99411,1,0.995,0.87448,0.59533,0.35822,0.94884,0.000181703,0.000181703,0.000181703
92,1229.83,0.5583,0.44954,0.9513,0.99596,1,0.995,0.85037,0.59884,0.37137,0.94382,0.0001652,0.0001652,0.0001652
93,1241.23,0.5648,0.4059,0.9373,0.99572,1,0.995,0.85608,0.59086,0.38521,0.93548,0.000148696,0.000148696,0.000148696
94,1252.48,0.52848,0.41181,0.89165,0.99555,1,0.995,0.85637,0.58889,0.40648,0.93007,0.000132193,0.000132193,0.000132193
95,1263.79,0.55247,0.41374,0.90462,0.99537,1,0.995,0.852,0.57979,0.42244,0.92421,0.00011569,0.00011569,0.00011569
96,1274.98,0.53665,0.41379,0.92222,0.99551,1,0.995,0.85103,0.58096,0.42968,0.92605,9.91865e-05,9.91865e-05,9.91865e-05
97,1286.46,0.57296,0.41021,0.92041,0.99568,1,0.995,0.85707,0.58188,0.42283,0.93017,8.26832e-05,8.26832e-05,8.26832e-05
98,1297.77,0.53519,0.39376,0.89938,0.9959,1,0.995,0.85678,0.58428,0.41461,0.93343,6.61799e-05,6.61799e-05,6.61799e-05
99,1310.59,0.55962,0.40247,0.98489,0.99602,1,0.995,0.86123,0.58744,0.41241,0.93743,4.96766e-05,4.96766e-05,4.96766e-05
100,1324.66,0.5371,0.37762,0.93596,0.99625,1,0.995,0.85791,0.58868,0.40195,0.93997,3.31733e-05,3.31733e-05,3.31733e-05
